Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Cost,Price,Profit,Quantity,Sales
4,US-2016-108966,2016-10-11 00:00:00,18/10/2016,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,875.91,445.88,-430.03,13,5796.463018
5,US-2016-108966,2016-10-11 00:00:00,18/10/2016,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,187.17,137.59,-49.58,19,2614.284944
15,US-2016-118983,2016-11-22 00:00:00,26/11/2016,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",803.28,725.46,-77.83,1,725.4552952
16,US-2016-118983,2016-11-22 00:00:00,26/11/2016,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,351.75,586.56,234.81,22,12904.31631
25,CA-2016-106320,2016-09-25 00:00:00,30/09/2016,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,202.83,797.24,594.41,22,17539.29487
28,US-2016-150630,2016-09-17 00:00:00,21/09/2016,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",188.52,742.99,554.47,15,11144.84174
29,US-2016-150630,2016-09-17 00:00:00,21/09/2016,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,728.56,670.87,-57.68,5,3354.36886
30,US-2016-150630,2016-09-17 00:00:00,21/09/2016,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",368.86,957.31,588.45,18,17231.61635
31,US-2016-150630,2016-09-17 00:00:00,21/09/2016,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,943.14,968.45,25.32,21,20337.54573
32,US-2016-150630,2016-09-17 00:00:00,21/09/2016,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",516.86,762.18,245.31,15,11432.63183
33,US-2016-150630,2016-09-17 00:00:00,21/09/2016,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",297.18,763.19,466.01,7,5342.33281
34,US-2016-150630,2016-09-17 00:00:00,21/09/2016,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,281.17,600.8,319.63,14,8411.196939
38,CA-2016-117415,2016-12-27 00:00:00,31/12/2016,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",866.76,75.04,-791.72,9,675.3258823
39,CA-2016-117415,2016-12-27 00:00:00,31/12/2016,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",915.83,618.75,-297.09,18,11137.436
40,CA-2016-117415,2016-12-27 00:00:00,31/12/2016,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",990.31,399.45,-590.86,22,8787.869102
41,CA-2016-117415,2016-12-27 00:00:00,31/12/2016,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,827.12,359.77,-467.36,7,2518.377943
50,CA-2016-115742,2016-04-18 00:00:00,22/04/2016,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",87.19,736.24,649.05,17,12516.13024
51,CA-2016-115742,2016-04-18 00:00:00,22/04/2016,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,242.66,953.24,710.59,7,6672.69409
52,CA-2016-115742,2016-04-18 00:00:00,22/04/2016,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,357.46,763.57,406.11,19,14507.79141
53,CA-2016-115742,2016-04-18 00:00:00,22/04/2016,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",136.89,587.15,450.25,22,12917.20012
63,CA-2016-135545,2016-11-24 00:00:00,30/11/2016,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",635.51,683.8,48.29,21,14359.77677
64,CA-2016-135545,2016-11-24 00:00:00,30/11/2016,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",391.32,740.7,349.38,19,14073.22008
65,CA-2016-135545,2016-11-24 00:00:00,30/11/2016,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,855.78,198.26,-657.52,9,1784.381756
66,CA-2016-135545,2016-11-24 00:00:00,30/11/2016,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,145.26,413.09,267.83,2,826.180006
67,US-2016-164175,2016-04-30 00:00:00,5/5/16,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",350.54,390.39,39.85,25,9759.694933
73,US-2016-134026,2016-04-26 00:00:00,2/5/16,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,890.82,454.88,-435.94,19,8642.734197
74,US-2016-134026,2016-04-26 00:00:00,2/5/16,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",335.84,476.11,140.27,10,4761.075788
75,US-2016-134026,2016-04-26 00:00:00,2/5/16,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,469.6,689.82,220.23,4,2759.299315
84,CA-2016-149734,2016-09-03 00:00:00,8/9/16,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,69.29,774.73,705.44,23,17818.8067
93,CA-2016-149587,2016-01-31 00:00:00,5/2/16,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,663.9,784.5,120.6,16,12551.93087
94,CA-2016-149587,2016-01-31 00:00:00,5/2/16,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",427.71,674.12,246.4,2,1348.23706
95,CA-2016-149587,2016-01-31 00:00:00,5/2/16,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,982.1,576.28,-405.82,20,11525.62349
104,US-2016-156867,2016-11-13 00:00:00,17/11/2016,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,793.42,448.47,-344.95,3,1345.416451
105,US-2016-156867,2016-11-13 00:00:00,17/11/2016,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",135.9,281.59,145.69,17,4787.051652
106,US-2016-156867,2016-11-13 00:00:00,17/11/2016,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",619.99,939.5,319.5,10,9394.951568
110,CA-2016-129476,2016-10-15 00:00:00,20/10/2016,Standard Class,PA-19060,Pete Armstrong,Home Office,United States,Orland Park,Illinois,60462,Central,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,733.15,74.4,-658.75,2,148.8033812
118,CA-2016-110457,2016-03-02 00:00:00,6/3/16,Standard Class,DK-13090,Dave Kipp,Consumer,United States,Seattle,Washington,98103,West,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,266.5,231.72,-34.79,17,3939.177396
119,US-2016-136476,2016-04-05 00:00:00,10/4/16,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Bristol,Tennessee,37620,South,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,897.43,887.52,-9.91,25,22188.08004
146,CA-2016-110744,2016-09-07 00:00:00,12/9/16,Standard Class,HA-14920,Helen Andreada,Consumer,United States,Pasadena,California,91104,West,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,671.37,503.96,-167.41,25,12598.98896
154,CA-2016-124919,2016-05-31 00:00:00,2/6/16,First Class,SP-20650,Stephanie Phelps,Corporate,United States,San Jose,California,95123,West,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,972.26,892.89,-79.37,22,19643.52061
155,CA-2016-124919,2016-05-31 00:00:00,2/6/16,First Class,SP-20650,Stephanie Phelps,Corporate,United States,San Jose,California,95123,West,OFF-PA-10002254,Office Supplies,Paper,Xerox 1883,833.21,586.87,-246.34,22,12911.08653
156,CA-2016-124919,2016-05-31 00:00:00,2/6/16,First Class,SP-20650,Stephanie Phelps,Corporate,United States,San Jose,California,95123,West,OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",574.73,683.37,108.65,7,4783.612749
157,CA-2016-118948,2016-05-28 00:00:00,3/6/16,Standard Class,NK-18490,Neil Knudson,Home Office,United States,Seattle,Washington,98105,West,OFF-AR-10001547,Office Supplies,Art,Newell 311,603.8,812.88,209.08,18,14631.83736
162,CA-2016-119697,2016-12-28 00:00:00,31/12/2016,Second Class,EM-13960,Eric Murdock,Consumer,United States,Philadelphia,Pennsylvania,19134,East,TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,228.87,786.43,557.56,24,18874.26978
178,US-2016-101511,2016-11-21 00:00:00,23/11/2016,Second Class,JE-15745,Joel Eaton,Consumer,United States,Newark,Ohio,43055,East,FUR-CH-10004698,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",70,331.24,261.24,21,6955.979085
179,US-2016-101511,2016-11-21 00:00:00,23/11/2016,Second Class,JE-15745,Joel Eaton,Consumer,United States,Newark,Ohio,43055,East,OFF-SU-10002189,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener,152.98,710.69,557.7,14,9949.590915
180,CA-2016-137225,2016-12-15 00:00:00,19/12/2016,Standard Class,JK-15640,Jim Kriz,Home Office,United States,New York City,New York,10009,East,OFF-AR-10001940,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",893.44,202.14,-691.3,24,4851.361429
190,CA-2016-102281,2016-10-12 00:00:00,14/10/2016,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035,East,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",689.05,41.7,-647.35,7,291.8793104
191,CA-2016-102281,2016-10-12 00:00:00,14/10/2016,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035,East,TEC-PH-10001552,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,822.49,657.81,-164.67,11,7235.939441
192,CA-2016-102281,2016-10-12 00:00:00,14/10/2016,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035,East,OFF-PA-10000061,Office Supplies,Paper,Xerox 205,629.93,201.26,-428.67,15,3018.963349
