Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Cost,Price,Profit,Quantity,Sales
13,CA-2018-114412,15-04-2018 00:00,20-04-2018,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,60.15,763.94,703.8,15,11459.14745
24,US-2018-156909,16-07-2018 00:00,18-07-2018,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",541.44,458.43,-83.01,17,7793.331876
35,CA-2018-107727,19-10-2018 00:00,23-10-2018,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,500.8,562.08,61.27,3,1686.23117
42,CA-2018-120999,10-09-2018 00:00,15-09-2018,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,429.08,30.69,-398.39,10,306.9458167
44,CA-2018-139619,19-09-2018 00:00,23-09-2018,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",913.38,242.91,-670.47,10,2429.108418
72,CA-2018-114440,14-09-2018 00:00,17-09-2018,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",190.36,14.39,-175.96,18,259.0547228
76,US-2018-118038,09-12-2018 00:00,11-12-2018,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,283.6,295.23,11.63,19,5609.300622
77,US-2018-118038,09-12-2018 00:00,11-12-2018,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",315.81,194.95,-120.86,2,389.9023347
78,US-2018-118038,09-12-2018 00:00,11-12-2018,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",791.14,943.26,152.13,18,16978.71025
85,US-2018-119662,13-11-2018 00:00,16-11-2018,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,90.07,228.64,138.57,19,4344.141622
86,CA-2018-140088,28-05-2018 00:00,30-05-2018,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,584.38,422.34,-162.04,21,8869.145783
87,CA-2018-155558,26-10-2018 00:00,02-11-2018,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,705.75,812.12,106.37,4,3248.49345
88,CA-2018-155558,26-10-2018 00:00,02-11-2018,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,246.56,177.03,-69.53,12,2124.332789
96,US-2018-109484,06-11-2018 00:00,12-11-2018,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,97206,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,530.48,245.18,-285.3,24,5884.295083
97,CA-2018-161018,09-11-2018 00:00,11-11-2018,Second Class,PN-18775,Parhena Norris,Home Office,United States,New York City,New York,10009,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,697.51,913.74,216.24,2,1827.489496
98,CA-2018-157833,17-06-2018 00:00,20-06-2018,First Class,KD-16345,Katherine Ducich,Consumer,United States,San Francisco,California,94122,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,223.38,277.91,54.53,13,3612.852054
107,CA-2018-119004,23-11-2018 00:00,28-11-2018,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,250.34,434.38,184.04,10,4343.798698
108,CA-2018-119004,23-11-2018 00:00,28-11-2018,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,295.4,532.65,237.25,7,3728.582084
109,CA-2018-119004,23-11-2018 00:00,28-11-2018,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,510.29,110.69,-399.6,16,1771.098902
111,CA-2018-146780,25-12-2018 00:00,30-12-2018,Standard Class,CV-12805,Cynthia Voltz,Corporate,United States,New York City,New York,10035,East,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,255.85,323.44,67.6,14,4528.188298
127,US-2018-107272,05-11-2018 00:00,12-11-2018,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,85023,West,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",418.26,912.26,494,13,11859.37516
128,US-2018-107272,05-11-2018 00:00,12-11-2018,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,85023,West,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",714.04,826.22,112.18,25,20655.41702
131,US-2018-164147,02-02-2018 00:00,05-02-2018,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,348.75,543.35,194.59,18,9780.257775
132,US-2018-164147,02-02-2018 00:00,05-02-2018,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,859.94,362.21,-497.73,24,8692.982083
133,US-2018-164147,02-02-2018 00:00,05-02-2018,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,OFF-FA-10002780,Office Supplies,Fasteners,Staples,431.85,318.17,-113.68,4,1272.671149
142,CA-2018-106180,18-09-2018 00:00,23-09-2018,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,94122,West,OFF-AR-10000940,Office Supplies,Art,Newell 343,794.66,282.92,-511.74,20,5658.319377
143,CA-2018-106180,18-09-2018 00:00,23-09-2018,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,94122,West,OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,788.92,49.62,-739.3,16,793.9081624
144,CA-2018-106180,18-09-2018 00:00,23-09-2018,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,94122,West,OFF-PA-10004327,Office Supplies,Paper,Xerox 1911,763.43,177.29,-586.13,10,1772.928952
145,CA-2018-155376,22-12-2018 00:00,27-12-2018,Standard Class,SG-20080,Sandra Glassco,Consumer,United States,Independence,Missouri,64055,Central,OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,588.37,283.18,-305.19,19,5380.371802
177,US-2018-152366,21-04-2018 00:00,25-04-2018,Second Class,SJ-20500,Shirley Jackson,Consumer,United States,Houston,Texas,77036,Central,OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",156.65,789.06,632.41,6,4734.372354
198,CA-2018-107720,06-11-2018 00:00,13-11-2018,Standard Class,VM-21685,Valerie Mitchum,Home Office,United States,Westfield,New Jersey,7090,East,OFF-ST-10001414,Office Supplies,Storage,Decoflex Hanging Personal Folder File,78.68,121.73,43.05,20,2434.695863
199,US-2018-124303,06-07-2018 00:00,13-07-2018,Standard Class,FH-14365,Fred Hopkins,Corporate,United States,Philadelphia,Pennsylvania,19120,East,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",921.99,487.51,-434.48,10,4875.148643
200,US-2018-124303,06-07-2018 00:00,13-07-2018,Standard Class,FH-14365,Fred Hopkins,Corporate,United States,Philadelphia,Pennsylvania,19120,East,OFF-PA-10002749,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",104.85,64.86,-40,11,713.4183485
201,CA-2018-105074,24-06-2018 00:00,29-06-2018,Standard Class,MB-17305,Maria Bertelson,Consumer,United States,Akron,Ohio,44312,East,OFF-PA-10002666,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,114.59,722.99,608.4,12,8675.878194
204,US-2018-116701,17-12-2018 00:00,21-12-2018,Second Class,LC-17140,Logan Currie,Consumer,United States,Dallas,Texas,75220,Central,OFF-AP-10003217,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,209.85,13.34,-196.51,25,333.5091075
205,CA-2018-126382,03-06-2018 00:00,07-06-2018,Standard Class,HK-14890,Heather Kirkland,Corporate,United States,Franklin,Tennessee,37064,South,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",568.73,320.95,-247.78,9,2888.543507
206,CA-2018-108329,09-12-2018 00:00,14-12-2018,Standard Class,LE-16810,Laurel Elliston,Consumer,United States,Whittier,California,90604,West,TEC-PH-10001918,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,134.01,521.76,387.76,11,5739.403456
207,CA-2018-135860,01-12-2018 00:00,07-12-2018,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,48601,Central,OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray",731.77,842.88,111.11,10,8428.78382
208,CA-2018-135860,01-12-2018 00:00,07-12-2018,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,48601,Central,TEC-PH-10001700,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,91.62,957.17,865.55,1,957.1675227
209,CA-2018-135860,01-12-2018 00:00,07-12-2018,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,48601,Central,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",352.31,578.54,226.22,21,12149.24209
